DiscussionID,AlbumName,ArtistName,Date,AvgRating,Stdev,Attendance,RotationGenre,OtherGenre,Subgenres,ReleaseYear,FavoriteTrack,Popularity,Tracks,SpotifyID,Image
1,IGOR,"Tyler, the Creator",2022-02-19,0,0,0,N/A,FALSE,"Neo-Soul, Psychedelic Soul",2019,N/A,85,12,5zi7WsKlIiUXv09tbGLKsE,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57
2,The New Abnormal,The Strokes,2022-02-26,0,0,0,N/A,FALSE,Indie Rock,2020,N/A,76,9,2xkZV2Hl1Omi8rk2D7t5lN,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b
3,Blonde,Frank Ocean,2022-03-06,0,0,0,N/A,FALSE,"Alternative R&B, Art Pop, Neo-Soul",2016,N/A,86,17,3mH6qwIy9crq0I9YQbOuDf,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
4,So Tonight that I Might See,Mazzy Star,2022-03-27,0,0,0,N/A,FALSE,"Dream Pop, Neo-Psychedelia",1993,N/A,73,10,5K18gTgac0q6Jma5HkV1vA,https://i.scdn.co/image/ab67616d0000b27389a392107ebd79818022b3ea
5,A New World Record,Electric Light Orchestra,2022-04-03,0,0,0,N/A,FALSE,"Symphonic Rock, Pop Rock, Progressive Pop",1976,N/A,67,9,7a35UzxXYuKQGMGImyB0Un,https://i.scdn.co/image/ab67616d0000b273ee5b1065368b0981e3cb0a33
6,DAMN.,Kendrick Lamar,2022-04-10,0,0,0,N/A,FALSE,"Conscious Hip Hop, West Coast Hip Hop",2017,N/A,87,14,4eLPsYPBmXABThSJ821sqY,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
7,E·MO·TION,Carly Rae Jepsen,2022-05-22,0,0,8,Pop,FALSE,"Dance-Pop, Synthpop",2015,N/A,55,15,6UjZgFbK6CQptu8aOobzPV,https://i.scdn.co/image/ab67616d0000b2739aaa999f62cd7309e30fdad4
8,3 Feet High and Rising,De La Soul,2022-05-29,7.29,0.76,7,Hip Hop,FALSE,"East Coast Hip Hop, Conscious Hip Hop",1989,N/A,58,23,34LxHI9x14qXUOS8AWRrYD,https://i.scdn.co/image/ab67616d0000b273fa8d314f6f91e81889335dfc
9,Wet Leg,Wet Leg,2022-06-05,6.5,0.55,7,Rock,FALSE,Indie Rock,2022,N/A,71,12,0r9awI5WRCZpwk0aVQ4bKO,https://i.scdn.co/image/ab67616d0000b273ea1126a33b0fb88e79915262
10,Sound of Silver,LCD Soundsystem,2022-06-12,6.86,1.77,7,Electronic,TRUE,"Dance-Punk, Indietronica, Alternative Dance",2007,N/A,59,9,1R8kkopLT4IAxzMMkjic6X,https://i.scdn.co/image/ab67616d0000b273e6272ad26e7a55bc342a6dd0
11,Night Visions,Imagine Dragons,2022-06-19,5.2,1.14,11,Wild Card,FALSE,Pop Rock,2012,N/A,74,12,6htgf3qv7vGcsdxLCDxKp8,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a
12,Bloom,Beach House,2022-06-26,8.33,1.73,9,Pop,FALSE,"Dream Pop, Indie Pop",2012,N/A,59,10,02PXepuNHYKvGnXYy03oCp,https://i.scdn.co/image/ab67616d0000b273bb9f22f4b196fa10308d77a7
13,To Pimp a Butterfly,Kendrick Lamar,2022-07-03,6.17,2.86,6,Hip Hop,FALSE,"Conscious Hip Hop, West Coast Hip Hop, Jazz Rap",2015,N/A,80,16,7ycBtnsMtyVbbwTfJwRjSP,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1
14,A Night at the Opera,Queen,2022-07-10,7.63,1.06,8,Rock,FALSE,"Hard Rock, Art Rock",1975,N/A,42,12,7HVoV2lgVsmuiHsjbbUJB4,https://i.scdn.co/image/ab67616d0000b2733025a441495664948b809537
15,In the Aeroplane Over the Sea,Neutral Milk Hotel,2022-07-17,8.4,1.26,10,Folk,TRUE,"Indie Folk, Indie Rock",1998,N/A,64,11,0vVekV45lOaVKs6RZQQNob,https://i.scdn.co/image/ab67616d0000b273589ce9a911c6e65b1f80c558
16,Punisher,Phoebe Bridgers,2022-07-24,8.5,1.05,6,Wild Card,FALSE,"Singer-Songwriter, Indie Folk",2020,N/A,76,11,6Pp6qGEywDdofgFC1oFbSH,https://i.scdn.co/image/ab67616d0000b273a91b75c9ef65ed8d760ff600
17,Melodrama,Lorde,2022-07-31,7.33,1.03,6,Pop,FALSE,"Alt-Pop, Synthpop",2017,N/A,77,11,2B87zXm9bOWvAJdkJBTpzF,https://i.scdn.co/image/ab67616d0000b273f8553e18a11209d4becd0336
18,By the Time I Get to Phoenix,Injury Reserve,2022-08-07,7.8,1.3,5,Hip Hop,FALSE,"Experimental Hip Hop, Glitch Hop, Experimental",2021,N/A,46,11,7L7oMPboBCeyGLJVsHSWM2,https://i.scdn.co/image/ab67616d0000b2730f3729d5667b0367516fa3ab
19,Rumours,Fleetwood Mac,2022-09-08,7.46,1.32,69,Rock,FALSE,"Pop Rock, Soft Rock",1977,The Chain,79,11,1bt6q2SruMsBtcerNVtpZB,https://i.scdn.co/image/ab67616d0000b2730001af4f80be77069fc8fd41
20,Channel Orange,Frank Ocean,2022-09-15,7.92,1.32,59,Pop,FALSE,"Alternative R&B, Contemporary R&B",2012,Pyramids,84,17,392p3shh2jkxUxY2VHvlH8,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5
21,The Miseducation of Lauryn Hill,Ms. Lauryn Hill,2022-09-22,8.94,0.93,32,Hip Hop,FALSE,"Neo-Soul, Contemporary R&B, East Coast Hip Hop",1998,Ex-Factor,76,16,1BZoqf8Zje5nGdwZhOjAtD,https://i.scdn.co/image/ab67616d0000b273e08b1250db5f75643f1508c9
22,Back to Black,Amy Winehouse,2022-09-29,8.5,1.25,24,R&B,TRUE,"Pop Soul, Rhythm & Blues, Soul",2006,Back to Black,69,11,097eYvf9NKjFnv4xA9s2oV,https://i.scdn.co/image/ab67616d0000b2738f52f321140e4a76ea720c52
23,Minecraft - Volume Alpha,C418,2022-10-06,8.1,1.7,32,Wild Card,FALSE,"Ambient, Video Game Music",2011,Sweden,78,24,3Gt7rOjcZQoHCfnKl5AkK7,https://i.scdn.co/image/ab67616d0000b273aaeb5c9fb6131977995b7f0e
24,Ants From Up There,"Black Country, New Road",2022-10-13,8.43,1.17,30,Rock,FALSE,"Art Rock, Post-Rock, Chamber Pop",2022,The Place Where He Inserted The Blade,61,10,21xp7NdU1ajmO1CX0w2Egd,https://i.scdn.co/image/ab67616d0000b273af2d88c14cb157d6b851dbb3
25,Little Dark Age,MGMT,2022-10-20,7.62,1.1,26,Pop,FALSE,"Synthpop, Neo-Psychedelia, Psychedelic Pop",2018,Little Dark Age,74,10,7GjVWG39IOj4viyWplJV4H,https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d
26,Whole Lotta Red,Playboi Carti,2022-10-27,6.44,2.5,27,Hip Hop,FALSE,"Trap, Rage, Southern Hip Hop, Experimental Hip Hop",2020,JumpOutTheHouse,85,24,2QRedhP5RmKJiJ1i8VgDGR,https://i.scdn.co/image/ab67616d0000b27398ea0e689c91f8fea726d9bb
27,Hot Rats,Frank Zappa,2022-11-03,7.29,1,24,Jazz,TRUE,"Jazz-Rock, Jazz Fusion",1969,Peaches En Regalia,48,6,0WYYrC9My9rYWigac003hw,https://i.scdn.co/image/ab67616d0000b273ee314008c5ae6e98904ebfe0
28,Endtroducing..... ,DJ Shadow,2022-11-10,8.08,1.38,25,Wild Card,FALSE,"Instrumental Hip Hop, Experimental Hip Hop, Plunderphonics",1996,Building Steam With A Grain Of Salt,58,16,4tUVkNYSFrrEqqrxBQW9PN,https://i.scdn.co/image/ab67616d0000b273562c2a3b1fc1b35c5d9dbe20
29,Transatlanticism,Death Cab for Cutie,2022-11-17,7.2,1.99,20,Rock,FALSE,"Indie Rock, Indie Pop, Midwest Emo",2003,Expo '86,42,11,7jwLAtPHF7TW7dtELtayOd,https://i.scdn.co/image/ab67616d0000b273ac5899ddc449d1e54a1b8880
30,Vespertine,Björk,2022-12-01,7.71,1.59,21,Pop,FALSE,"Art Pop, Electronic",2001,Pagan Poetry,49,12,5vBpIxm8ws6pWyVmTWiGE1,https://i.scdn.co/image/ab67616d0000b273bc31229deb79f896eb9fee84
31,OK Computer,Radiohead,2023-01-30,7.84,1.7,56,Rock,FALSE,"Alternative Rock, Art Rock",1997,No Surprises,80,12,6dVIqQ8qmQ5GBnJ9shOYGE,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
32,Heaven or Las Vegas,Cocteau Twins,2023-02-06,7.58,1.81,52,Pop,FALSE,Dream Pop,1990,Cherry-Coloured Funk,66,10,5lEphbceIgaK1XxWeSrC9E,https://i.scdn.co/image/ab67616d0000b2732be08c60dcb4b5608abbe61e
33,The Forever Story,J.I.D,2023-02-13,7.68,1.33,40,Hip Hop,FALSE,"Southern Hip Hop, Conscious Hip Hop",2022,Crack Sandwich,77,16,4rJDCELWL0fjdmN9Gn4f4g,https://i.scdn.co/image/ab67616d0000b273cae6e44dcc84e2035c3ad092
34,OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,2023-02-20,7.43,1.99,40,Experimental,TRUE,"Bubblegum Bass, Deconstructed Club",2018,Immaterial,51,9,4z3YbEkKWwiIMSJTWUQbTH,https://i.scdn.co/image/ab67616d0000b273fa3158c935aa3c01865f7150
35,Demon Days,Gorillaz,2023-02-27,7.24,1.25,42,Wild Card,FALSE,"Alternative Rock, Trip Hop, Pop",2005,Feel Good Inc.,80,15,0bUTHlWbkSQysoM3VsWldT,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf
36,Close to the Edge,Yes,2023-03-06,7.84,1.27,31,Rock,FALSE,"Symphonic Rock, Prog Rock",1972,Close to the Edge,33,3,252LyflX4wUeISSzgL392F,https://i.scdn.co/image/ab67616d0000b27303e402534d80a4aee949a950
37,Parklife,Blur,2023-03-20,5.86,1.35,36,Pop,FALSE,"Britpop, New Wave",1994,Girls & Boys,56,16,0YS25Dr3hMtMFlVTfuvzl4,https://i.scdn.co/image/ab67616d0000b2737f04eef099ddb5c34a1f3afc
38,"good kid, m.A.A.d city",Kendrick Lamar,2023-03-27,8.92,1.11,39,Hip Hop,FALSE,"West Coast Hip Hop, Conscious Hip Hop",2012,Money Trees,77,13,6PBZN8cbwkqm1ERj2BGXJ1,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797
39,DON'T BLAME THE WILD ONE!,ena mori,2023-04-03,7.55,1.57,29,Small Artist,TRUE,"Synthpop, Electropop",2022,SOS,17,12,4U7IlPTJAlT5n1BJX6lCgI,https://i.scdn.co/image/ab67616d0000b273786656754c95446bad7b8a14
40,Give Up,The Postal Service,2023-04-10,7.28,1.62,32,Wild Card,FALSE,"Indietronica, Indie Pop",2003,Such Great Heights,51,10,1BSwkKATGVCMgNuN8ve7mz,https://i.scdn.co/image/ab67616d0000b273df6e579914fc309b0e0bd745
41,Is This It,The Strokes,2023-04-17,8.03,0.85,30,Rock,FALSE,Indie Rock,2001,Someday,69,11,2k8KgmDp9oHrmu0MIj4XDE,https://i.scdn.co/image/ab67616d0000b27313f2466b83507515291acce4
42,Weezer [Blue Album],Weezer,2023-04-24,7.66,1.53,35,Pop,FALSE,Power Pop,1994,Say It Ain't So,75,10,1xpGyKyV26uPstk1Elgp9Q,https://i.scdn.co/image/ab67616d0000b273345536847e60f622ee0eae96
43,SCARING THE HOES,JPEGMAFIA & Danny Brown,2023-05-01,7.65,0.93,26,Hip Hop,FALSE,Experimental Hip Hop,2023,Burfict!,68,14,3u20OXh03DjCUzbf8XcGTq,https://i.scdn.co/image/ab67616d00001e028cf4c85912fdeb106707fb4c
44,IGOR,"Tyler, the Creator",2023-06-05,8.79,0.97,14,LGBTQ+,TRUE,Neo-Soul,2019,New Magic Wand,85,12,5zi7WsKlIiUXv09tbGLKsE,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57
45,Grace,Jeff Buckley ,2023-06-12,8.31,1.21,16,Alt Rock,TRUE,Alternative Rock,1994,Lover You Should Have Come Over,71,11,7yQtjAjhtNi76KRu05XWFS,https://i.scdn.co/image/ab67616d0000b2736a760642a56847027428cb61
46,The Dark Side of the Moon,Pink Floyd,2023-06-19,8.38,0.77,13,60s-80s,TRUE,"Art Rock, Progressive Rock",1973,Money,77,10,4LH4d3cOWNNsVw41Gqt2kv,https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe
47,Pink Moon,Nick Drake,2023-06-26,7.31,1.11,13,Folk,TRUE,"Contemporary Folk, Singer-Songwriter",1972,Pink Moon,66,11,5mwOo1zikswhmfHvtqVSXg,https://i.scdn.co/image/ab67616d0000b273e369195caf5d169bf5e9eafc
48,In the Wee Small Hours,Frank Sinatra,2023-07-03,7.8,0.91,10,20s-50s,TRUE,"Standards, Vocal Jazz",1955,In the Wee Small Hours of the Morning,50,16,3GmwKB1tgPZgXeRJZSm9WX,https://i.scdn.co/image/ab67616d0000b273d4f8a582c0c3a3d67f395c6d
49,Mezzanine,Massive Attack,2023-07-10,7.53,1.26,13,Industrial,TRUE,Trip Hop,1998,Inertia Creeps,68,11,49MNmJhZQewjt06rpwp6QR,https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e
50,Harvest Moon,Neil Young,2023-07-17,7.18,1.25,11,Country,TRUE,"Country Rock, Singer-Songwriter, Folk Rock",1992,Harvest Moon,0,10,0tdm853TNWjVVChbJRbu3Q,https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80
51,Born Under a Bad Sign,Albert King,2023-07-24,7.6,0.97,10,Electric Blues,TRUE,"Electric Blues, Soul Blues",1967,Born Under a Bad Sign,47,11,42WQ76qWDQmHlHvJa6Z3Uw,https://i.scdn.co/image/ab67616d0000b273599bb610f6243326e6176663
52,98.12.28 男達の別れ,Fishmans,2023-07-31,8.45,1.37,11,Dream Pop/Shoegaze,TRUE,"Dream Pop, Neo-Psychedelia",1999,In The Air,43,14,5K4YFkTizFoMOyN5Khfp7G,https://i.scdn.co/image/ab67616d0000b273b8b2f65e2dfa733439974801
53,songs,Adrianne Lenker,2023-08-07,8.64,1.21,11,Wild Card,FALSE,"Singer-Songwriter, Contemporary Folk",2020,anything,60,11,2Qt8Z1LB3Fsrf6nhBNsvUJ,https://i.scdn.co/image/ab67616d00001e02ab009ce861613653b14451b9
54,Disintegration (2010 Remaster),The Cure,2023-09-05,7.04,1.32,81,Rock,FALSE,"Gothic Rock, Post-Punk",1989,Lullaby,48,12,0A13JySVHzBoRZFk2o89Wl,https://i.scdn.co/image/ab67616d00001e023ec3e0853e3b84dc64272647
55,Post,Björk,2023-09-11,7.29,1.47,75,Pop,FALSE,"Art Pop, Electronic",1995,It's Oh So Quiet,53,11,2Ul7B1LEHxXzYubtkTMENs,https://i.scdn.co/image/ab67616d00001e02a865a9acd0169c7a014063b0
56,To Pimp A Butterfly,Kendrick Lamar,2023-09-18,8.84,1.37,84,Hip Hop,FALSE,"Conscious Hip Hop, West Coast Hip Hop, Jazz Rap",2015,Wesley's Theory,79,16,7ycBtnsMtyVbbwTfJwRjSP,https://i.scdn.co/image/ab67616d00001e02cdb645498cd3d8a2db4d05e1
57,Pet Sounds,The Beach Boys,2023-09-25,7.77,1.60,58,60s,TRUE,Baroque Pop,1966,Wouldn't It Be Nice,64,13,2CNEkSE8TADXRT2AzcEt1b,https://i.scdn.co/image/ab67616d00001e0250eb0c521d2d3b2f599bff04
58,Ctrl,SZA,2023-10-02,7.81,1.59,61,Wildcard,FALSE,"Alternative R&B, Neo-Soul",2017,Drew Barrymore,84,14,76290XdXVF9rPzGdNRWdCh,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25
59,To See the Next Part of the Dream,Parannoul,2023-10-16,7.36,1.60,54,Small Artist,TRUE,"Shoegaze, Emo, Indie Rock",2021,Beautiful World,44,10,5IyHtkKQvafw7bQYFnx4FO,https://i.scdn.co/image/ab67616d00001e022c373d645f0cb73dedde2683
60,For the first time,"Black Country, New Road",2023-10-23,7.10,2.15,53,Rock,FALSE,"Post-Rock, Experimental Rock, Post-Punk",2021,Opus,51,6,2PfgptDcfJTFtoZIS3AukX,https://i.scdn.co/image/ab67616d00001e020ffaa4f75b2297d36ff1e0ad
61,Blue Banisters,Lana Del Rey,2023-10-30,6.97,1.60,39,Pop,FALSE,"Singer-Songwriter, Soft Rock",2021,Dealer,74,15,2wwCc6fcyhp1tfY3J6Javr,https://i.scdn.co/image/ab67616d00001e026946deb6f548e464b385ee0e
62,Atrocity Exhibition,Danny Brown,2023-11-06,7.40,1.54,40,Hip Hop,FALSE,"Experimental Hip Hop, Hardcore Hip Hop, Drug-Spiral Rap",2016,Ain't it Funny,55,15,3A1vnUJDPz0xYMful9pO4I,https://i.scdn.co/image/ab67616d00001e0206ce558a01af20d2837fb601
63,Kala,M.I.A.,2023-11-13,7.22,1.74,41,00s,TRUE,"UK Hip Hop, Experimental Hip Hop",2007,Paper Planes,68,12,2xoj2gYed3IYmGWn3owSfu,https://i.scdn.co/image/ab67616d00001e02310d9098fbbde47bf7785637
64,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,2023-11-20,8.14,1.41,33,Wildcard,FALSE,"Glam Rock, Pop Rock",1972,Starman - 2012 Remaster,72,11,48D1hRORqJq52qsnUYZX56,https://i.scdn.co/image/ab67616d00001e02c41f4e1133b0e6c5fcf58680
65,Escape From Dragon House (Deluxe Version),Dengue Fever,2023-11-27,7.45,0.91,23,International/Non-English,TRUE,"Cambodian Pop, Psychedelic Pop",2005,One Thousand Tears of a Tarantula,24,15,54nAhs51Fw3IyLBOhuZCjZ,https://i.scdn.co/image/ab67616d00001e0276a5e4f4fb75d533ba8c2b22
66,Turn On The Bright Lights,Interpol,2024-01-29,7.40,1.60,57,Rock,FALSE,"Post-Punk Revival, Indie Rock",2002,Obstacle 1,66,11,4sW8Eql2e2kdRP1A1R1clG,https://i.scdn.co/image/ab67616d00001e0214f8df9fb9c2d3056a994390
67,Titanic Rising,Weyes Blood,2024-02-05,8.20,1.50,55,Pop,FALSE,"Baroque Pop, Art Pop, Progressive Pop, Singer-Songwriter",2019,Andromeda,68,10,0Cuqhgy8vm96JEkBY3polk,https://i.scdn.co/image/ab67616d00001e020c64e752dec4c08362cc4a88
68,Because the Internet,Childish Gambino,2024-02-12,6.88,1.93,42,Hip-Hop,FALSE,"Abstract Hip Hop, West Coast Hip Hop, Contemporary R&B",2013,3005,81,19,62yjWIhnATHxPqGbgC9Lqr,https://i.scdn.co/image/ab67616d00001e0226d64b6150aa3d9b6b67d857
69,The Four Seasons,Antonio Vivaldi,2024-02-19,8.08,1.25,38,Classical,TRUE,"Baroque Music, Concerto",1985,Winter: I. Allegro non molto,63,12,4eEJooUkzenp7lZTtfbIP7,https://i.scdn.co/image/ab67616d00001e02c7464f9c451674bc683cb47f
70,House Of Balloons (Original),The Weeknd,2024-02-26,8.04,1.08,30,Mainstream,TRUE,"Alternative R&B, Downtempo",2011,House Of Balloons / Glass Table Girls,83,9,7zCODUHkfuRxsUjtuzNqbd,https://i.scdn.co/image/ab67616d00001e02274b406a7e18acebcf743079
,,,,,,,,,,,,,,,
